price;price_per_meter;area;rooms;floor;market_type;furnished;building_type;description;district;date;url
820 000 zł;Cena za m²: 14310.65 zł/m²;57,30;3;2;Wtórny;Nie;Blok;"OPIS
Sprzedam bezpośrednio 3 pokojowe mieszkanie - 57,3 m2 - na Gocławiu przy ul. Umińskiego.
Piętro: 2/15
Rok budowy: 1982
Rodzaj zabudowy: blok
Winda: tak
Materiał budynku: wielka płyta
Okna: plastikowe
Forma własności: pełna własność
Stan wykończenia: do odświeżenia

Informacje dodatkowe:
• balkon,
• piwnica,
• oddzielna kuchnia

Opis
Nieruchomość znajduje się na 2 piętrze piętnastopiętrowego bloku z dwoma windami.
Lokal składa się z 3 pokoi ( 17m2, 11m2, 10 m2), łazienki, WC, widnej kuchni, przedpokoju. Z salonu jest wyjście na przestronny balkon, który zapewnia dodatkową przestrzeń do relaksu.
Dodatkowo do mieszkania przynależy piwnica oraz schowek na 2 piętrze współdzielony z sąsiadem.
Wysokość pomieszczeń wynosi 2,55 metra.

Możliwość wykupienia miejsca parkingowego od spółdzielni w cenie 59 zł na miesiąc.

Lokalizacja i komunikacja:
Mieszkanie położone jest w spokojnej i zielonej okolicy, z doskonałym dostępem do komunikacji miejskiej – 150 m do przystanku autobusowego.
W najbliższym otoczeniu znajdują się sklepy - Lidl, Auchan, punkty usługowe, szkoły, przedszkola oraz tereny rekreacyjne (Park nad Balatonem), idealne na spacery i aktywność na świeżym powietrzu oraz oddalone 10 minut spacerem centrum handlowe Atrium Promenada.

Zapraszam do kontaktu!";Praga-Południe;;https://www.olx.pl/oferta/jasne-3-pokojowe-mieszkanie-z-osobna-kuchnia-57-m2-goclaw-CID3-ID153BMW.html
675 000 zł do negocjacji;Cena za m²: 19958.6 zł/m²;33,82;2;3;Pierwotny;Tak;Blok;"OPIS
Sprzedaż tylko BEZPOŚREDNIA tzn. bez pośredników.

Sprzedam nowe 2- pokojowe mieszkanie na 3 piętrze przy ul. Umińskiego 2 (Gocław) o powierzchni 33,82 m2 w nowo wybudowanym budynku oddanym do użytku w 2024 roku. W bloku jest winda.

Mieszkanie składa się z:
⦁ salonu z aneksem kuchennym 16,97m2
⦁ sypialni 6,72m2
⦁ łazienki 4,69m2
⦁ przedpokoju 5,44m2
⦁ balkonu 3,25m2

W mieszkaniu zostały wykonane następujące prace:
⦁ w całym mieszkaniu wykonane ogrzewanie podłogowe
⦁ położone panele
⦁ drzwi wewnętrzne DRE wykonane przez profesjonalną firmę
⦁ wszystkie meble wykonane przez stolarza na wymiar
⦁ na wszystkich ścianach i sufitach jest położona gładź szpachlowa oraz pomalowane na kolor biały

Łazienka:
⦁ geberit z deską wolnoopadającą wraz z zabudową meblową;
⦁ wanna z baterią prysznicową;
⦁ umywalka z baterią i szafką;
⦁ podświetlane lustro.

Kuchnia:
⦁ meble kuchenne zrobione na wymiar;
⦁ wyposażona w nowy sprzęt AGD: lodówka z zamrażarką, płyta indukcyjna, okap, piekarnik i zmywarka.

W przedpokoju duża szafa wnękowa.

Dodatkowo możliwość zakupu miejsca postojowego w podziemnym garażu na platformie- auto do wysokości 160 cm kwota 40,000zł.

Lokalizacja: przy samej pętli autobusowej Gocław, na dole z drugiej strony w bloku jest sklep Auchan.
Blisko centrum, w najbliższej okolicy Centrum Handlowe Promenada, Jezioro Gocławskie, Metro Politechnika, Ulica Francuska, basen, siłownia, parki, ścieżki rowerowe, sklepy, przytulne restauracje, piekarnia, pizzeria, placówki medyczne i kosmetyczne.

Mieszkanie jest gotowe do zamieszkania.";Praga-Południe;2025-03-29;https://www.olx.pl/oferta/mieszkanie-2-pokojowe-33-82m2-blok-z-2024r-bezposrednio-CID3-ID14KVUl.html
1 850 000 zł do negocjacji;Cena za m²: 21022.73 zł/m²;88;3;4;Wtórny;Tak;Blok;"OPIS
Na sprzedaż oferuję wyjątkowe mieszkanie, które doskonale sprawdzi się dla osób ceniących przestronność oraz spokój.

Mieszkanie o powierzchni 88 m² (21 tys za metr kwadratowy) znajduje się na 4 piętrze w cichym, kameralnym budynku przy ul. Dzikiej z największym podwórkiem w okolicy Warszawy, a jednocześnie w doskonałej lokalizacji z łatwym dostępem do wszelkich udogodnień (centrum handlowy Arcadia, tramwaj, autobusy i metro nie cale 10 min pieszo).

Mieszkanie składa się z przestronnego salonu z przestrzenią dla jadalni, dwóch oddzielnych pokoi, oddzielnej kuchni, toalety oraz łazienki z jakuzzi.

Jasne wnętrze, wysokie sufity oraz duże okna sprawiają, że mieszkanie jest pełne naturalnego światła, co dodatkowo potęguje wrażenie przestronności. Umeblowanie w antycznym stylu są w cenie oferty. Ponieważ robią charakterystyczne wrażenie i są częścią tego apartamentu od lat.

Z salonu prowadzi wyjście na dużą loggie 12m2, która staje się idealnym miejscem do relaksu na świeżym powietrzu, gdzie można cieszyć się ciszą i spokojem okolicy lub uprawiać sport. Mieszkanie zostało zaprojektowane w sposób, który zapewnia komfort i prywatność, idealne dla osób szukających wytchnienia od codziennego zgiełku.

Cena mieszkania: 1 850 000 zł.

Zachęcam do kontaktu i umówienia się na prezentację, aby osobiście poczuć atmosferę tego wyjątkowego miejsca. Pozdrawiam serdecznie, Wiktoria";Śródmieście;2025-03-29;https://www.olx.pl/oferta/przestrzonne-mieszkanie-88m2-przy-arkadii-merto-dworzec-gdanski-CID3-ID14RzuB.html
999 903 zł do negocjacji;Cena za m²: 14594.99 zł/m²;68,51;3;3;Wtórny;Tak;Blok;"OPIS
DO SPRZEDANIA:
Oferujemy 3-pokojowe mieszkanie w budynku oddanym do użytku w 2021 roku, znajdującym się na Białołęce, Nowy Tarchomin, ul. Światowida 28.

FORMALNOŚCI:
Pełna własność lokalu z założoną Księgą Wieczystą. Grunty pod nieruchomością są uregulowane.

OPIS:
Część budynku, w którym znajduje się mieszkanie jest 6 - piętrowa z windą.
Mieszkanie znajduje nie na 3 piętrze. Rozkład mieszkania jest bardzo funkcjonalny a sam układ jest dwustronny (północ-południe).
Mniejszy balkon skierowany jest na południe a większy na północ.

Wysokość mieszkania: 2,63 m2.
Przedpokój: 8,98 m2
Salon + aneks: 25,88 m2
Pokój 1: 13,55m2
Pokój 2: 11,80 m2
Łazienka: 4,36 m2
WC: 1,69m2
Loggia: 2,90m2
Balkon: 8,05m2

RAZEM: 68,51m2

Kuchnia jest otwarta i wyposażona w bardzo dobrej jakości sprzęt: zmywarkę, piekarnik, mikrofalówkę, lodówkę i kuchnię indukcyjną.

DODATKOWO:
Miejsce garażowe (dodatkowo płatne 40 000 PLN) - do mieszkania przynależy miejsce w parkingu podziemnym.
Istnieje możliwość wynajęcia komórki lokatorskiej.
Osiedle posiada monitoring i ochronę.

OKOLICA:
Mieszkanie idealnie sprawdzi się dla osób ceniących sobie przestrzeń, dla rodzin z dziećmi ze względu na dostępność wszelkich udogodnień, dla właścicieli zwierząt, ponieważ przy bloku znajduje się duży obszar zielony.
W bardzo bliskiej okolicy (ok. 5 min pieszo) znajduje się przychodnia lekarska, LIDL, Biedronka, Zdrofit, Galeria Północna, przystanki tramwajowe i autobusowe, szkoła podstawowa, przedszkola, żłobki.
W samym bloku istnieje również paczkomaty INPOST.

Zapraszamy do kontaktu bezpośredniego.
Nie chcemy kontaktów od pośredników nieruchomościami.";Białołęka;2025-03-29;https://www.olx.pl/oferta/jasne-mieszkanie-warszawa-tarchomin-ul-swiatowida-3-pokoje-CID3-ID11DYSM.html
1 520 000 zł do negocjacji;Cena za m²: 19000 zł/m²;80;4;4;Wtórny;Tak;Blok;"OPIS
Przestronny 4-pokojowy apartament (81,65m2) z 2 balkonami, 2 łazienkami, garderobą, 2 miejscami postojowymi i komórką lokatorską | Włochy/Ochota | ul. Równoległa 7.

Do apartamentu przynależą dwa szerokie, rodzinne miejsca postojowe w garażu podziemnym oraz murowana komórka lokatorska (4,5m2) na I piętrze (płatne dodatkowo).

Oferta bezpośrednia – pośrednikom zdecydowanie dziękuję!

Na sprzedaż 4-pokojowy apartament o funkcjonalnym układzie, położony na 4. piętrze budynku przy ul. Równoległej 7, na granicy dzielnic Włochy i Ochota. Apartament zamieszkany od połowy 2020 roku. Elastyczny termin wprowadzenia. Deska trójwarstwowa na podłodze.

Rozkład pomieszczeń

Salon z aneksem kuchennym
Przestronna, dobrze doświetlona część dzienna, połączona z aneksem kuchennym i jadalnią. Zabudowa kuchenna wykonana na wymiar, wyposażona w sprzęt AGD: piekarnik, płytę indukcyjną, lodówko-zamrażarkę oraz zmywarkę Electrolux.

Sypialnie

Sypialnia główna –Sypialnia połączona jest z garderobą.
Pokój dziecięcy
Gabinet – duże biurko zapewniające komfort pracy zdalnej, może zostać łatwo przekształcony w drugi pokój dziecięcy.
Łazienki

Łazienka nr 1 – wyposażona w wannę, umywalkę, WC oraz szafę z przesuwanymi drzwiami, w której znajduje się m.in. pralko-suszarka, oraz miejsce do przechowywania.
Łazienka nr 2 – z prysznicem, umywalką i WC.
Balkony

Balkon o powierzchni 8 m² – zadaszony, zagospodarowany roślinnością.
Balkon o powierzchni 4 m² – również zadaszony, idealny do odpoczynku.
Dodatkowe informacje

Dwa rodzinne miejsca postojowe w garażu podziemnym (płatne dodatkowo) – 60 000 PLN.
Murowana komórka lokatorska na I piętrze (płatna dodatkowo) – wygodne miejsce do przechowywania rowerów, sprzętu sportowego czy rzeczy sezonowych. – 20 000 PLN.
Czynsz – ok. 850 PLN/miesięcznie

Lokalizacja i komunikacja

Apartament położony jest w dobrze skomunikowanej części Warszawy, w pobliżu stacji:

- PKP Aleje Jerozolimskie (ok. 8 minut pieszo), skąd pociągi PKP kursują regularnie do centrum, na lotnisko, Mokotów i innych dzielnic.

-WKD Aleje Jerozolimskie – połączenie z Centrum Warszawy i w kierunku Grodziska Mazowieckiego

Liczne linie autobusowe:

Z przystanku PKP WKD Aleje Jerozolimskie odjeżdżają następujące linie autobusowe:

Autobusowe Linie dzienne:

127 – kursuje na trasie Ursus-Ratusz – Browarna.
178 – łączy Skorosze z Konwiktorską.
187 – obsługuje trasę Chełmska – Ursus-Niedźwiadek.
191 – kursuje między Regulską a Szpitalem Banacha.
208 – łączy Szczęśliwice z PKP WKD Aleje Jerozolimskie.
228 – trasa obejmuje Sasanki – Ursus-Ratusz.
517 – kursuje na trasie Ursus-Niedźwiadek – Plac Trzech Krzyży.
717 – łączy Piastów Ogińskiego z Dworcem Zachodnim.
817 – obsługuje trasę Dworzec Zachodni – Pruszków Os. Staszica /pętla.
Autobusowe Linie nocne:

N01 – kursuje na trasie Nowodwory – Ursynów Północny.
N35 – łączy Ursus-Niedźwiadek z Centrum.
N85 – obsługuje trasę Centrum – Pruszków Os. Staszica /pętla.

W okolicy znajdują się liczne punkty usługowe, sklepy, apteki, przychodnie oraz centra handlowe Blue City i Reduta.

W zasięgu krótkiego spaceru dostępne są także tereny rekreacyjne, takie jak Park Szczęśliwicki i Stawy Cietrzewia.

Planowane inwestycje w okolicy

Nowy przystanek kolejowy ""Warszawa Instalatorów"" – 200 m
Nowy przystanek WKD ""Warszawa Wschodu Słońca"" – 150 m
Nowa szkoła podstawowa we Włochach – ul. Instalatorów – 50 m
Zapraszam do kontaktu.

Ogłoszenie nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego.";Włochy;2025-03-29;https://www.olx.pl/oferta/sprzedam-bezp-82m2-4-pok-2-laz-2-balk-2-m-postojowe-CID3-ID14X1iM.html
1 139 000 zł;Cena za m²: 18983.33 zł/m²;60;3;10;Wtórny;Tak;Blok;"OPIS
***English below***

Mieszkanie trzypokojowe po gruntownym remoncie w pełni wyposażone w nowe meble i agd. Gotowe do wprowadzenia, jeszcze nikt w nim nie mieszkał, wszystko jest zupełnie nowe i świeże.

Wyodrębniono podział na strefę: dzienną z aneksem kuchennym, sypialnię z garderobą, pokój dla dziecka lub na gabinet i łazienkę. Można zaaranżować bardzo dużo szaf.

Doskonała lokalizacja: w zasięgu spaceru znajduje się Metro Rondo ONZ M2 oraz Metro Centrum M1, tramwaje oraz autobusy, a także Dworzec Centralny i Złote Tarasy. Szybki dojazd do centrum biznesowego na Grzybowskiej i Alei Jana Pawła

Budynek z portiernią całodobową bardzo dobrze utrzymany w spokojnej okolicy. Wokół budynku cisza i zieleń.

Idealne dla rodziny z dzieckiem lub pary i osób pracujących zdalnie, szukających mieszkania, w którym znajdzie się dodatkowe miejsce na gabinet. Ciche i jasne, z pięknym widokiem na Warszawę.

Sprzedaż bezpośrednia - oszczędność na prowizji!

MOŻNA KREDYTOWAĆ

Łączna powierzchnia: 60 m2
w tym
mieszkanie: 58 m2
piwnica: 2 m2
Czynsz: ok. 1000
Cena: 1 139 000
Osobno wyposażenie: 30 000 zł

ZALETY:
M2 Rondo ONZ
Garderoba w sypialni
Budynek z portierem
Po generalnym remoncie
Idealne dla pary z dzieckiem

MIESZKANIE
Posiada piwnicę
Dużo miejsca do przechowywania
Nowe i komfortowe po gruntownym remoncie
Jasne, dwustronne, z pięknym widokiem na Warszawę
Nowe instalacje elektryczne, wod-kan, wymienione okna

LOKALIZACJA: Krochmalna 3
2 min tram do Dw. Centralnego
3 min autem do Fabryki Norblina
4 min autem do Złotych Tarasów
5 min autem do Metro Centrum M1
6 min autem do Rondo Daszyńskiego
9 min spacerem do stacji Metro ONZ M2
11 min komunikacją do Uniwersytetu Warszawskiego

BUDYNEK
Portier
Wymienione piony
Bardzo zadbany budynek

Zadzwoń i zobacz mieszkanie na żywo :)

Z góry bardzo dziękuję za nie wysyłanie SMSów ani wiadomości w portalu przy pierwszym kontakcie – bardzo proszę dzwonić. Dziękuję :)

*Pośredników zapraszam wyłącznie z zainteresowanym klientem.

Nie zgadzam się na powielanie tego ogłoszenia, kopiowanie treści i wykorzystywanie zdjęć w jakikolwiek sposób. Stanowią one własność intelektualną ogłoszeniodawcy. Nauczony doświadczeniem wszelkie naruszenia podaję niezwłocznie do sądu.

ENGLISH
Three-room apartment after a complete renovation, fully furnished with new furniture and household appliances. Ready to move in, no one has lived in it yet, everything is completely new and fresh.

The apartment is divided into zones: a living area with a kitchenette, a bedroom with a walk-in closet, a room for a child or home office, and a bathroom. There is plenty of space for wardrobes.

Excellent location: within walking distance of Metro Rondo ONZ (M2) and Metro Centrum (M1), trams, buses, as well as the Central Railway Station and Złote Tarasy shopping center. Quick access to the business district on Grzybowska Street and Jana Pawła Avenue.

The building has a 24-hour concierge, is well-maintained, and located in a quiet area. The surroundings are peaceful and green.

Perfect for a family with a child, a couple, or remote workers looking for an apartment with extra space for a home office. Quiet and bright, with a beautiful view of Warsaw.

Direct sale – save on commission!

MORTGAGE AVAILABLE

Size: 60 m²
including
apartment: 58 m²
storage unit: 2 m²
Maintenance fee: approx. 1000 PLN
Price: 1.139.000 PLN
Furniture and equipment paid separately: 30.000 PLN

ADVANTAGES:
M2 Rondo ONZ
Walk-in closet in the bedroom
Building with concierge
Completely renovated
Perfect for a couple with a child

APARTMENT:
Has a storage unit
Plenty of storage space
New and comfortable after a complete renovation
Bright, dual aspect, with a beautiful view of Warsaw
New electrical and plumbing installations, new windows

LOCATION: Krochmalna 3
2 min by tram to Central Railway Station
3 min by car to Norblin Factory
4 min by car to Złote Tarasy
5 min by car to Metro Centrum (M1)
6 min by car to Rondo Daszyńskiego
9 min walk to Metro ONZ (M2)
11 min by public transport to the University of Warsaw

BUILDING:
Concierge
Renovated plumbing risers
Very well-maintained building

Call and see the apartment in person :)

Please do not send SMS or messages in the portal for the first contact – please call me or whatsapp me. Thank you :)";Śródmieście;;https://www.olx.pl/oferta/metro-onz-m2-centrum-m1-po-remoncie-garderoba-portier-CID3-ID151AEm.html
803 400 zł do negocjacji;Cena za m²: 15991.24 zł/m²;50,24;2;5;Wtórny;Nie;Kamienica;"OPIS
Mieszkanie dwupokojowe w kamienicy na Starej Ochocie przy ul. Radomskiej 8, w niedalekim sąsiedztwie ulicy Grójeckiej. Okolica cicha i zielona. Bardzo dobra komunikacja z Centrum i z lotniskiem.
Mieszkanie ciche i słoneczne, usytuowane na 4 piętrze pięciopiętrowego budynku. Wszystkie okna w mieszkaniu usytuowane są od strony ulicy Radomskiej.
Powierzchnia mieszkania to 50,24 m2, w tym dwa pokoje o powierzchni odpowiednio 15 m2 i 14 m2. Kuchnia oddzielna o powierzchni ok 11 m2. Wysokość mieszkania to ok 3,1 m.
Stan techniczny mieszkania – do remontu.
W załączaniu rzut mieszkania oraz przykładowa koncepcja układu funkcjonalnego mieszkania i przykładowe wizualizacje stanu docelowego po remoncie.
W części wspólnej budynku wymienione zostały wszystkie instalacje. W 2023 roku została również wymieniona winda. Wspólnota Mieszkaniowa zebrała już pieniądze i bieżącym roku zostanie wykonany remont klatki schodowej.";Ochota;;https://www.olx.pl/oferta/mieszkanie-2-pokoje-50-24-m2-stara-ochota-do-remontu-CID3-ID14IYw4.html
559 000 zł;Cena za m²: 20703.7 zł/m²;27;2;1;Wtórny;Tak;Blok;"OPIS
Sprzedaż bezpośrednia - oszczędność na prowizji!

Mieszkanie dwupokojowe przy ul. Romaszewskiego 11 na pierwszym piętrze (wchodzi się jak na parter). Po gruntownym remoncie w pełni wyposażone w nowe meble i AGD. Gotowe do wprowadzenia, jeszcze nikt w nim nie mieszkał, wszystko jest zupełnie nowe i świeże.

Wyodrębniono podział na strefę dzienną z aneksem kuchennym, sypialnię i łazienkę. Zaaranżowano bardzo dużo pojemnych szaf.

Doskonała lokalizacja: w zasięgu spaceru znajduje się Metro M1 Słodowiec oraz tramwaje na Bemowo i Młociny. Szybki dojazd do Centrum, Metro M2 ONZ i Starego Miasta. Bardzo dobry do jazd na uczelnie: AWF, UKSW i Uniwersytet Koźmińskiego.

Bardzo dobrze utrzymany budynek w cichej i spokojnej okolicy. Wokół budynku rozległe tereny zieleni.

Mieszkanie idealne na rozsądną inwestycję na wynajem. Gwarantowany zysk i bezpieczna ochrona Twoich pieniędzy!

Informacje dla pośredników na dole ogłoszenia!

MOŻNA KREDYTOWAĆ!

Metraż mieszkania: 27 m2
Adres: Romaszewskiego 11
Czynsz: ok. 400 zł
Cena: 559 000 zł

ZALETY:
- KW - pełna własność
- Idealne dla studenta
- Metro M1 Słodowiec
- Po generalnym remoncie
- Spokojna, zielona okolica

MIESZKANIE
- Nowe i komfortowe po gruntownym remoncie
- Ma oddzielną sypialnię i dużo pojemnych szaf
- Dostępne dla osób starszych lub z niepełnosprawnością
- Nowe instalacje elektryczne i hydrauliczne, nowe meble i AGD

LOKALIZACJA
- 6 min autem do AWF
- 10 min spacerem do Metro M1 Słodowiec
- 8 min autem do CH Arkadia
- 10 min autem do Koźmińskiego
- 11 min autem do UKSW
- 16 min autem do Metro M2 Rondo ONZ
- 17 min autem do Starego Miasta

BUDYNEK
- Zadbany budynek
- Klatka w bardzo dobrym stanie
- Wyremontowana elewacja z ociepleniem
- Wymienione piony w budynku

Zadzwoń i zobacz mieszkanie na żywo :)

Z góry bardzo dziękuję za nie wysyłanie SMSów ani wiadomości w portalu przy pierwszym
kontakcie – bardzo proszę dzwonić. Dziękuję :)

Pośredników zapraszam wyłącznie z zainteresowanym klientem.

Nie zgadzam się na powielanie tego ogłoszenia, kopiowanie treści i wykorzystywanie zdjęć w jakikolwiek sposób. Stanowią one własność intelektualną ogłoszeniodawcy. Nauczony doświadczeniem wszelkie naruszenia podaję niezwłocznie do sądu.";Bielany;2025-03-29;https://www.olx.pl/oferta/m1-slodowiec-po-remoncie-dla-studenta-awf-uksw-kozmin-wyposazone-2pok-CID3-ID157IOb.html
1 150 000 zł;Cena za m²: 22917.5 zł/m²;50,18;2;1;Wtórny;Nie;Apartamentowiec;"OPIS
Na sprzedaż mieszkanie o powierzchni 50,18 m² położone w nowoczesnym apartamentowcu.
Lokal składa się z:
- jasnego salonu z kuchnią,
- wygodnej sypialni,
- łazienki z WC,
- przedpokoju.

Dodatkowe atuty to taras o powierzchni 40 m² oraz loggia 3,54 m², które oferują przestrzeń na odpoczynek.
NA ŻYCZENIE KUPUJĄCEGO MIESZKANIE ZOSTANIE WYKOŃCZONE POD OKIEM PROFESJONALNEGO PROJEKTANTA WNĘTRZ.
Lokalizacja:
Mieszkanie zlokalizowane przy ul. Kolejowej 19 oferuje świetny dostęp do komunikacji:
- Metro Rondo Daszyńskiego – 8 minut,
- Dworzec Zachodni – 15 minut,
- Lotnisko Chopina – 25 minut.

W pobliżu znajdują się sklepy, restauracje, centra fitness i tereny zielone.

Budynek:
Mieszkanie znajduje się na osiedlu „Kolej na 19” oddanym do użytkowania w 2024 roku. Kameralne budynki, piękne elewacje i wysokiej jakości wykończenie to wyróżniki tej inwestycji.

Do mieszkania przynależy miejsce parkingowe w hali garażowej dodatkowo płatne 80 000 zł.";Ochota;;https://www.olx.pl/oferta/bez-pcc-bezposrednio-2-pokoje-CID3-ID14VvAE.html
1 266 680 zł do negocjacji;Cena za m²: 18846.6 zł/m²;67,21;3;1;Wtórny;Tak;Apartamentowiec;"OPIS
Sprzedam bezpośrednio trzypokojowe mieszkanie w Warszawie, z możliwością oddzielenia czwartego pokoju. Pierwsze piętro z windą, garaż, komórka.
Trzypiętrowy apartamentowiec jest usytuowany w na końcu cichej uliczki Miasteczka Wilanów, przy ulicy Gieysztora- z szeroką perspektywą z okien i balkonu. Wejście na posesję jest ogrodzone: brama z domofonem. Urządzono wewnętrzne patio dla mieszkańców. Chronione kodami jest wejście do klatki schodowej i garażu. Wjazd do garażu podziemnego jest bezpośredni z uliczki. W budynku jest winda, co daje komfortową komunikację mieszkania z wyjściem na parterze i podziemnym garażem.
Do mieszkania na pierwszym piętrze prowadzi czysta, zadbana klatka schodowa, wykończona w wysokim standardzie; szerokie schody, wygodna winda.
Przedpokój został wyposażony w dużą szafą wnękową z lustrami, jest w nim też dodatkowe pomieszczenie: na pralnię, garderobę lub drugie WC.
Z przedpokoju jest wejście do przestronnego Salonu z Kuchnią i dużą loggią. W Salonie jest dębowy parkiet, w kuchni- kafelki na podłodze i ścianach. Piękne drewniane okna- wysokie na całą ścianę wychodzą na północny wschód. Podobnie loggia- nie jest narażona na południowe nasłonecznienie. 31 metrów kwadratowych oraz układ okien daje możliwość wygospodarowania w tej przestrzeni dodatkowego, pięknego pokoju z wejściem na taras i osobnej kuchni.
Sypialnia ma znakomite rozwiązanie: została powiększona o sporą Garderobę. Razem mają ponad 11 metrów kwadratowych.
Drugi pokój- 9 i pół metra kwadratowego- Gabinet/pokój dla dzieci- ma piękne, narożne okna.
Wszystkie pokoje zostały wykończone w wysokim standardzie: Gipsy na ścianach i dębowe parkiety.
W łazience- 4 i pół metra kwadratowego mieści się: wanna, umywalka z szafką a także WC i pralka. Na podłodze i ścianach łazienki są kafelki w eleganckiej tonacji beżowo- brązowej.
Budynek ma obecnie 10 lat, a więc wszystkie instalacje są nowe. Równocześnie- mieszkania mają za sobą uciążliwy okres adaptacji i głośnych remontów. Sąsiedztwo jest ciche.
Wspólnota mieszkaniowa zadbała o obniżenie kosztów użytkowania części wspólnych montując na dachu panele fotowoltaiczne.
Mieszkanie stanowi pełną własność, ze spłaconą hipoteką, z udziałami w gruncie. Osobną własność stanowi komórka lokatorska i garaż i są wycenione dodatkowo.
Osiedle „Miasteczko Wilanów” jest przyjaznym i bezpiecznym miejscem w Warszawie. Czystym, atrakcyjnym. Posiada pełną infrastrukturę: sklepy, przedszkola, szkoły, restauracje, kawiarenki, siłownie, kluby, usługi- wszystko co potrzebne jest do wygodnego życia. Położenie Osiedla w południowym obszarze Warszawy powoduje, że w ciągu kilku minut z ulicy Gieysztora można wydostać się na obwodnicę S2, a stamtąd w dowolnym kierunku: Poznań, Katowice, Lublin, Gdańsk; zaś na lotnisko w ciągu 16 minut. Do Centrum Warszawy jest 20 minut samochodem, a komunikacja publiczna ostatnio została wzbogacona o tramwaj do Wilanowa.
Zapraszam do kontaktu w celu umówienia na oglądanie.
Sprzedaję bezpośrednio- pośrednikom i agencjom- dziękuję.";Wilanów;;https://www.olx.pl/oferta/sprzedam-bezposrednio-mieszkanie-w-warszawie-3-4-pokojowe-CID3-ID14Tc73.html
