source;price;price_per_meter;area;rooms;floor;market_type;furnished;description;district;date;url;title
otodom;580 000 zł;12 554 zł/m²;46.2;2;2/3;wtórny;Tak;;ul. Bohaterów Warszawy, Skorosze, Ursus,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-w-centrum-starego-ursusa-ID4wncv;Przytulne Mieszkanie W Centrum Starego Ursusa
otodom;Zapytaj o cenę;;124.77;5;1/1;pierwotny;Tak;5-pokojowe mieszkanie numer B.4 na 1. piętrze w budynku B w Inwestycji Wiązana Residence Dewelopera Linden Property;ul. Wiązana, Zerzeń, Wawer,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-124m2-balkon-ID4u8Wy;5-pokojowe mieszkanie 124m2 + balkon
otodom;3 150 000 zł;26 923 zł/m²;117;4;4/4;wtórny;Tak;;Błonia Wilanowskie, Wilanów,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/wyjatkowy-penthouse-z-tarasem-106-m2-w-wilanowie-ID4webk;Wyjątkowy Penthouse Z Tarasem (106 M2) W Wilanowie
otodom;Zapytaj o cenę;;92.85;4;1/1;pierwotny;Tak;4-pokojowe mieszkanie numer B01.L2 na 1. piętrze w Inwestycji Rokokowa Vita Dewelopera DEVELIA;ul. Rokokowa, Huta, Bielany,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-92m2-2-balkony-ID4uEDq;4-pokojowe mieszkanie 92m2 + 2 balkony
otodom;Zapytaj o cenę;;78.7;3;2/6;pierwotny;Tak;3-pokojowe mieszkanie numer F1.B.02.05 na 2. piętrze w Inwestycji Splot Wola Dewelopera Matexi Polska;ul. Goleszowska, Odolany, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-78m2-loggia-ID4wCbi;3-pokojowe mieszkanie 78m2 + loggia
otodom;849 000 zł;12 653 zł/m²;67.1;3;;wtórny;Tak;;ul. Wyszogrodzka, Bródno, Targówek,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/wyszogrodzka-3-4-pokoje-67-m2-metro-park-ID4uDYi;Wyszogrodzka 3-4 pokoje 67 m2 Metro Park
otodom;1 679 000 zł;28 948 zł/m²;58;2;;wtórny;Tak;;ul. Chłodna, Mirów, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/bezposrednio-apartament-ID4sSKj;Bezpośrednio Apartament
otodom;Zapytaj o cenę;;59.52;3;2/7;pierwotny;Tak;3-pokojowe mieszkanie numer SV/39 na 2. piętrze w Inwestycji Sikorskiego Vita Dewelopera DEVELIA;al. Aleja gen. Władysława Sikorskiego 7, Stegny, Mokotów,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-balkon-bez-prowizji-ID4uo5J;3-pokojowe mieszkanie 59m2 + balkon Bez Prowizji
otodom;718 000 zł;17 276 zł/m²;41.56;2;;pierwotny;Tak;;ul. Zapałczana 4, Gocławek, Praga-Południe,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/nowe-mieszkania-w-kameralnym-budynku-na-goclawku-ID4sSJ5;Nowe Mieszkania w kameralnym budynku na Gocławku
otodom;1 245 000 zł;23 741 zł/m²;52.44;2;;wtórny;Tak;;ul. Szara, Solec, Śródmieście,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/solec-2-pokoje-z-kominkiem-ID4wbyA;Solec - 2 pokoje z kominkiem
