source;price;price_per_meter;area;rooms;floor;market_type;furnished;description;district;date;url;title;building_type;year_built;rent;finish_status;ownership;heating;elevator;ad_id;external_id
otodom;1750000;17614;99.35;4;3/6;wtórny;Nie;<p>Mam przyjemność zaprezentować Państwu ofertę sprzedaży 4 pokojowego mieszkania  w Warszawie, w dzielnicy Mokotów, przy ulicy Wynalazek w inwestycji Luksor. <br/>Mieszkanie znajduje się na 3 piętrze w 6 piętrowym budynku apartamentowym, wybudowanym w 2014 roku. <br/>Mieszkanie posiada bardzo korzystny rozkład. Powierzchnia użytkowa mieszkania to 99,35m2. Lokal składa się z przestronnego salonu z aneksem kuchennym o powierzchni około 40m2, 3 sypialni, z czego największa posiada indywidualną garderobę i łazienkę. Wszystkie 3 sypialnie połączone są tarasem o powierzchni 11m2. W mieszkaniu znajdują się 2 łazienki. <br/>Budynek charakteryzuje się podwyższonym standardem. Na parterze budynku znajduje się reprezentacyjny hall z recepcją, ochroną oraz monitoringiem. <br/>Do mieszkania przynależy dodatkowo płatne miejsce postojowe w garażu podziemnym w cenie 70 000 zł oraz komórka lokatorska w cenie 30 000 zł. <br/>W okolicy znajduje się pełna infrastruktura. W odległości około 350 metrów od budynku znajduje się linia tramwajowa przy ulicy Marynarskiej. <br/>Zapraszam!<br/> </p><p>::oferta eksportowana z programu mediaRent::</p>;mokotów;2025-06-17;https://www.otodom.pl/pl/oferta/mieszkanie-z-2-balkonami-na-mokotowie-bez-prowizj-ID4vT7g;Mieszkanie z 2 balkonami na Mokotowie! Bez prowizj;apartment;2014;;ready_to_use;;miejskie;Nie;66943710;2444/HSE/MS
otodom;1015000;14500;70;3;2/4;wtórny;Nie;<p>Na sprzedaż przestronne i funkcjonalne 3-pokojowe mieszkanie o powierzchni 70m2, położone na 2.piętrze kameralnego, 4-piętrowego budynku z 2004 r. Niedawno odświeżono elewację budynku.</p><p>W skład mieszkania wchodzą:</p><ul><li>przestronny salon z wyjściem na balkon</li><li>oddzielna, jasna kuchnia, komfortowa i ergonomiczna.</li><li>dwie sypialnie</li><li>łazienka z wanną</li><li>oddzielna toaleta</li><li>przedpokój z szafą</li></ul><p>GARAŻ + KOMÓRKA LOKATORSKA</p><p>Do mieszkania przynależy garaż podziemny oraz komórka lokatorska, płatne dodatkowo 45 000 zł oraz 15 000 zł.</p><p>LOKALIZACJA:</p><p>Położone w zielonej i przyjaznej dzielnicy Rembertów. Bardzo dobra lokalizacja- cicha, zielona okolica, jednocześnie świetnie skomunikowana:</p><p>*Stacja SKM/PKP -tylko 18 min jazdy do centrum</p><p>*Przystanek autobusowy pod blokiem</p><p>*W pobliżu: sklepy, piekarnie, kawiarnie, punkty usługowe, szkoły, przedszkola, apteki, korty tenisowe, basen</p><p>Idealne miejsce dla rodzin, osób ceniących bliskość natury a jednocześnie sprawny dojazd do centrum. Dodatkowym atutem są bliskie tereny zielone - lasy, ścieżki rowerowe i rekreacyjne.</p><p>Mieszkanie gotowe do zamieszkania od 1 lipca 2025 r. Do odświeżenia lub zamieszkania od razu.</p><p>Jeśli potrzebujesz więcej informacji, proszę o kontakt pod nr. tel:</p><p>601227516 Iwona</p><p>609683233 Wiesława</p>;rembertów;2025-06-03;https://www.otodom.pl/pl/oferta/na-sprzedaz-3-pokojowe-mieszkanie-z-garazem-warszawa-rembertow-ID4vH3D;Na sprzedaż: 3-pokojowe mieszkanie z garażem, Warszawa Rembertów;block;2004;720;ready_to_use;full_ownership;miejskie;Nie;66897357;
otodom;Zapytaj o cenę;;31.99;1;parter/3;pierwotny;Nie;"<ul><li>1-pokojowe mieszkanie<strong> numer 217</strong>  na parterze w budynku 2 w Inwestycji Osiedle Hemara 3 Dewelopera Profit Development</li><li>Ogólnodostępna tężnia, siłownia plenerowa</li><li>Wózkownie i rowerownie w budynkach</li><li>Las w Markach (11 minut rowerem)</li><li>Trasa rowerowa wzdłuż Kanału Żerańskiego (4 minuty rowerem)</li><li>Przystanek autobusowy (3 minuty spacerem)</li><li>Lidl (3 minuty samochodem)</li><li>CH Atrium Targówek, Multikino (10 minut samochodem)</li></ul><br/><strong>Osiedle Hemara 3 - poznaj inwestycję</strong><br/><p><strong>Osiedle Hemara 3</strong> to trzeci etap zielonego osiedla przeznaczonego dla rodzin poszukujących komfortowego życia w cichej okolicy. W ramach <strong>Osiedla Hemara 3</strong> zaplanowano ergonomicznie rozplanowane, jasne mieszkania o różnorodnych układach: od jedno- do czteropokojowych, z metrażami w przedziale od 25 do 102 m², oferując łącznie 362 lokale mieszkalne. Charakterystycznymi cechami <strong>mieszkań w Osiedlu Hemara 3</strong> są duże balkony, tarasy oraz ogrody. Budowę podzielono na dwa etapy: pierwszy to jeden budynek z 135 mieszkaniami, a drugi to dwa budynki z 227 mieszkaniami. Oferowana jest opcja wykończenia mieszkań ""pod klucz"".</p><p><strong>Osiedle Hemara 3</strong> oferuje również przemyślane przestrzenie wspólne. Na terenie osiedla znajduje się zieleń bogata w różne gatunki krzewów, drzew i kwiatów, ogólnodostępna tężnia solankowa promująca relaks, a także przestrzeń dla osób aktywnych fizycznie, w tym siłownia na świeżym powietrzu oraz specjalnie zaprojektowana strefa dla dzieci z dobrze wyposażonym placem zabaw. <strong>Mieszkańcy Osiedla Hemara 3</strong> mają do dyspozycji lokale usługowe na parterach budynków, wózkarnie i rowerownie w każdym z nich. Dla sezonowych przedmiotów przewidziano komórki lokatorskie, a pojazdy mogą być parkowane na dedykowanych miejscach w podziemnej hali garażowej. Osiedle jest ogrodzone i monitorowane przez całą dobę.</p><br/><strong>Osiedle Hemara 3 - lokalizacja</strong><br/><br/>Białołęka, ul. Hemara<br/><ul><li>10,9 km do centrum</li><li>3 min. spacerem do przystanku autobusowego</li><li>6 min. samochodem do przystanku tramwajowego</li><li>dojazd do centrum: 10 min samochodem</li></ul>Istotne punkty w okolicy inwestycji<ul><li>Przedszkole (211 m, 3 minuty spacerem)</li><li>Przystanek autobusowy (237 m, 3 minuty spacerem)</li><li>Szkoła Podstawowa (377 m, 5 minut spacerem)</li><li>Weterynarz (793 m, 10 minut spacerem)</li><li>Poczta (896 m, 12 minut spacerem)</li><li>Piekarnia (904 m, 12 minut spacerem)</li><li>Apteka (952 m, 12 minut spacerem)</li></ul><br/>";białołęka;2025-01-08;https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-ID4uaL8;1-pokojowe mieszkanie 31m2 + ogródek;;2026;;to_completion;full_ownership;;Nie;66296546;69432f31-1a4a-4e45-9203-2ac1cc81d977
otodom;769000;16541;46.49;3;7/11;wtórny;Nie;Oferuję do sprzedaży, na <strong>warszawskim Powiślu,</strong> pośród zieleni, <strong>3 pokojowe</strong>, dwustronne mieszkanie <strong>z pięknym widokiem, 9 minut pieszo od Parku Łazienkowskiego!<br><br></strong>Jeszcze bliżej masz do Parku Tadeusza Mazowieckiego, na Torwar i Stadion Miejski, a tylko kilkadziesiąt metrów do przychodni zdrowia, apteki, szkoły podstawowej, 400m do Żabki, sklepów, Bistro przy ul. Rozbrat lub Górnośląskiej oraz do przystanków autobusowych Koźmińska 01 (linie 131,171), najbliższa stacja metra - Politechnika.<br><br>Może teraz myślisz: <strong>Ciekawe, czy ta propozycja może być dla mnie?</strong><br><br>Być może TAK, jednak najpierw <strong>pomyśl i sprawdź</strong>, czy:<br><br>- cenisz światło dzienne i piękny widok na zieleń i przestrzeń,<br>- cisza i codzienność w świetnej miejskiej lokalizacji, niedaleko Agrykoli i Łazienek Królewskich, to jest właśnie TO :),<br>- kochasz ten rejon Śródmieścia, Powiśle, czy zależy Tobie na tej lokalizacji,<br>- jeśli lokalizacja jest super, to czy mieszkanie przy tzw ślepej ulicy będzie dodatkowym atutem ze względu na mały ruch samochodowy,<br>- szukasz małego M dla rodziny i szukasz rozkładu dającego spokój oraz poczucie intymność,<br>- potrzebujesz nabyć mieszkanie do własnej aranżacji, gdyż cenisz swój styl,<br>- chcesz sam/a urządzić wnętrze według własnych upodobań,<br>- zakupisz mieszkanie tylko z oknem w kuchni i możliwością jej oddzielenia,<br>- ważny jest dla Ciebie uregulowany stan prawny, gdyż chcesz z zakupem czuć się bezpiecznie, a może też wspomagasz się kredytem,<br>- marzysz o mieszkaniu z loggią i komórką w budynku z windą,<br>- sporo okien i dwustronny układ stanowią dla Ciebie wartość,<br>- komunikacja i infrastruktura miejska stanowią dla Ciebie duży atut,<br>- myślisz o dobrej inwestycji, być może pod wynajem ???<br><br>Jeśli dużo Twoich odpowiedzi zgadza się z powyższymi punktami, to CZYTAJ DALEJ!<br><br>Lokal ma powierzchnię użytkową <strong>46,49 m2,</strong> rzeczywista jest ciut większa, plus loggia.<br>Każdy właściciel lokalu ma prawo do użytkowania piwnicy.<br>W budynku z 1966 roku <strong>jest winda.</strong><br>Lokal ma certyfikat energetyczny.<br>Jeden właściciel. Odrębna, uregulowana <strong>własność z księgą wieczystą.</strong><br>Lokal dostępny po zakupie, przeznaczony do modernizacji.<br>Mieszkanie obecnie nadaje się do odnowienia, odświeżenia lub remontu, w zależności od oczekiwań. Okna wychodzą na dwie strony świata. Okna PCV. W kuchni meble i sprzęty AGD: pralka, zmywarka, okap, płyta gazowa w zabudowie i piekarnik elektryczny, lodówko-zamrażarka, zlewozmywak z baterią. <br>Generalny remont z wymianą elektryki, okien, rur, posadzki w kuchni był robiony w 2005 roku.<br>Na podłodze, poza terakotą jest panel drewniany i panel PCV.<br>Czynsz administracyjny zawiera zużycie mediów na 3 osoby.<br><br>ZAPROSZENIE:<br>Serdecznie zapraszam wszystkich zainteresowanych zakupem tego wyjątkowego mieszkania do wcześniejszego kontaktu telefonicznego lub mailowego w celu otrzymania szczegółowych informacji lub umówienia oglądania mieszkania! Do zobaczenia!<br>Zapraszam Pośredników do współpracy przy sprzedaży.<br><br>Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego.<br><br>;śródmieście;2025-07-14;https://www.otodom.pl/pl/oferta/3-pok-z-cudnym-widokiem-do-wlasnej-aranzacji-ID4xfSJ;3 Pok. Z Cudnym Widokiem DO Własnej Aranżacji;;1966;900;to_renovation;full_ownership;;Nie;67031221;718d9a2c-d1cd-4e3f-876b-02b53cd858a8
otodom;690000;15682;44;2;parter/2;wtórny;Nie;<p>Sprzedam przestronne parterowe mieszkanie na os. Lewandów.</p><p>-Zadaszony taras 18m</p><p>-Ogrodek 33m</p><p>-Klimatyzacja</p><p>-Mieszkanie swiezo po kapitalnym remoncie. Urzadzone w wysokim standardzie</p><p>-W lazience duza wanna 2x osobowa z przysznicem</p><p>-W pełni wyposażone(pralka, zmywarka, sprzet agd, kuchenka gazowa)</p><p>-Bio kominek w salonie</p><p>-Bio kominek na tarasie</p><p>-Projektor na tarasie(małe kino)</p><p>-Stół, ława, szafka RTV zrobione na zamówienie z wysokkej klasy drewna</p><p>-Miejsce parkingowe przed blokiem przypisane w akcie notarialnym dodatkowo płatne 20000zl</p><p>-Os zamkniete. Calodobowa ochrona, monitoring.</p><p></p><p>Lokalizacja jest dogodna. W pobliżu znajdziesz:</p><ul><li>Park Magiczna</li><li>3km do stacji metra Kondratowicza</li><li>Szkoły i przedszkola</li><li>Sklepy, w tym Czerwoną Torebkę, Ikea, Castorama, leroy merlin Homepark Targówek, decathlon itp</li><li>Przystanki autobusowe ułatwiające komunikację</li><li>Restauracje i kawiarnie, takie jak Natka i Tymianek</li></ul><p>Sprzedaz bezposrednia bez zadnych agencji.</p>;białołęka;2025-06-29;https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-z-ogrodem-i-tarasem-bez-posrednikow-ID4x3af;Nowoczesne mieszkanie z ogrodem i tarasem bez posrednikow!!;block;2012;520;ready_to_use;full_ownership;miejskie;Nie;66982335;
otodom;Zapytaj o cenę;;25.81;1;parter/7;pierwotny;Nie;"<ul><li>1-pokojowe mieszkanie<strong> numer 53</strong>  na parterze w Inwestycji Konopacka Dewelopera Profit Development</li><li>Rowerownia ze stacją naprawy rowerów</li><li>Ogólnodostępna pralnia</li><li>Park Praski (12 minut spacerem)</li><li>Praska Plaża Miejska (20 minut spacerem)</li><li>Przystanek tramwajowy i autobusowy (2 minuty spacerem)</li><li>Stacja metra ""Szwedzka"" (9 minut spacerem)</li><li>Stacja PKP ""Warszawa Wileńska"" (9 minut spacerem)</li><li>Lidl (6 minut spacerem)</li></ul><br/><strong>Konopacka - poznaj inwestycję</strong><br/><p>Inwestycja Konopacka znajduje się <strong>w warszawskiej dzielnicy Praga-Północ</strong> – blisko centrum, punktów handlowo-usługowych, przystanków tramwajowych i autobusowych oraz stacji metra. Projekt łączy w sobie starą, historyczną zabudowę z nowoczesną formą.</p><p>Jedna część obejmuje <strong>zabytkową oficynę</strong>, która odnawiana jest według wytycznych konserwatora zabytków – zachowana zostanie drewniana klatka schodowa i pierwotne elementy balkonów. Wyjątkowe będą również oznaczenia mieszkań i kolorystyka. Rozplanowano tutaj 30 mieszkań o powierzchniach od 25,25 do 49,69 mkw. i układach 1- i 2-pokojowych. Ich <strong>wysokość wyniesie do 3,39 m</strong>.</p><p>Spójną bryłę z zabytkową kamienicą utworzy część nowoczesna o prostej i ponadczasowej architekturze. Tutaj znajdzie się 119 mieszkań o powierzchniach od 25,17 do 59,79 mkw. i układach 1-, 2- i 3-pokojowych. Do mieszkań będą przynależeć <strong>balkony oraz tarasy</strong>, z których będzie można podziwiać widok na centrum Warszawy.</p><p>W inwestycji uwzględniono także komórki lokatorskie, rowerownie, stację naprawy rowerów, ogólnodostępną pralnię i monitoring.</p><br/><strong>Konopacka - lokalizacja</strong><br/><br/>Praga-Północ, ul. Konopacka<br/><ul><li>3,9 km do centrum</li><li>3 min. spacerem do przystanku autobusowego</li><li>3 min. spacerem do przystanku tramwajowego</li><li>9 min. spacerem do stacji kolejowej</li><li>dojazd do centrum: 17 min samochodem</li></ul>Istotne punkty w okolicy inwestycji<ul><li>Przystanek autobusowy (214 m, 3 minuty spacerem)</li><li>Przystanek tramwajowy (212 m, 3 minuty spacerem)</li><li>Restauracja (245 m, 3 minuty spacerem)</li><li>Kawiarnia (268 m, 4 minuty spacerem)</li><li>Szkoła Podstawowa (301 m, 4 minuty spacerem)</li><li>Poczta (327 m, 5 minut spacerem)</li><li>Apteka (350 m, 5 minut spacerem)</li><li>Weterynarz (359 m, 5 minut spacerem)</li><li>Przedszkole (404 m, 5 minut spacerem)</li><li>Piekarnia (433 m, 6 minut spacerem)</li><li>Sklep: Lidl (472 m, 6 minut spacerem)</li><li>Stacja kolejowa (673 m, 9 minut spacerem)</li><li>Przystanek metra (758 m, 10 minut spacerem)</li><li>Lekarz (797 m, 10 minut spacerem)</li></ul><br/>";praga-północ;2025-01-08;https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-bez-prowizji-ID4ubew;1-pokojowe mieszkanie 25m2 Bez Prowizji;;2025;;to_completion;full_ownership;;Nie;66298367;65b5ae75-d5f5-492f-961d-f8f404e5e6a7
otodom;;;;;;wtórny;Nie;"<ul><li><strong>1, 2, 3 i 4-pokojowe</strong> mieszkania <strong>od 28 m2 do 76 m2</strong> od dewelopera <strong>Weisenburger</strong></li><li>Ponadstandardowa wysokość pomieszczeń</li><li>Rowerownia</li><li>Park Obwodu Praga Armii Krajowej (13 minut spacerem)</li><li>Kamionkowskie Błonia Elekcyjne (20 minut spacerem)</li><li>Przystanek autobusowy (4 minuty spacerem)</li><li>Planowana stacja metra ""Mińska"" (11 minut spacerem)</li><li>Lidl (6 minut spacerem), Biedronka (10 minut spacerem)</li><li>CH Promenada, Cinema City (14 minut samochodem)</li></ul><br/><strong>Osiedle PUR - poznaj inwestycję</strong><br/><p><strong>Osiedle PUR </strong>to miejsce stworzone z myślą o harmonijnej i nowoczesnej architekturze, ale przede wszystkim z uwzględnieniem potrzeb jego mieszkańców. Oferuje 140 mieszkań o różnorodnych metrażach – od kawalerek po przestronne, czteropokojowe apartamenty. Każde mieszkanie charakteryzuje się <strong>wysokim standardem wykończenia </strong>i przemyślanym układem.</p><p>Wysoki standard dotyczy nie tylko mieszkań, ale również części wspólnych, które będą wykończone z najwyższą starannością. Wejścia do klatek schodowych będą ozdobione eleganckimi, dekoracyjnymi kaflami, tworzącymi przyjazną atmosferę już od progu. Podziemna kondygnacja będzie przeznaczona na halę garażową, w której znajdą się <strong>miejsca parkingowe w trzech standardach, komórki lokatorskie oraz pomieszczenie na rowery i wózki</strong>. Fasady budynków zostaną ozdobione zielonymi ścianami pokrytymi bujną roślinnością, co nie tylko doda uroku całemu osiedlu, ale również poprawi jakość powietrza i stworzy przyjazne środowisko dla mieszkańców.C</p><p>entralnym punktem osiedla będzie<strong> zielone patio</strong> – miejsce, które będzie służyć mieszkańcom w każdym wieku. Otoczone bujnymi krzewami, trawami i małą architekturą, będzie idealnym miejscem do zabawy dla dzieci oraz spokojnego odpoczynku dla dorosłych.</p><p>Osiedle PUR znajduje się przy ulicy Żupniczej. <strong>W okolicy są szkoły, przedszkola</strong>, placówki medyczne, siłownie i różne punkty usługowe. W zasięgu krótkiego spaceru znajdują się również<strong> restauracje, piekarnie</strong>, sklepy oraz salony fryzjerskie i kosmetyczne. Dużym atutem jest także bliskość Parku Skaryszewskiego oraz Błoni Elekcyjnych, a także <strong>dobra komunikacja z innymi dzielnicami Warszawy</strong>. Do centrum miasta można dotrzeć komunikacją miejską w zaledwie 15 minut.</p><br/><strong>Osiedle PUR - lokalizacja</strong><br/><br/>Kamionek, ul. Żupnicza 21<br/><ul><li>4,8 km do centrum</li><li>5 min. spacerem do przystanku autobusowego</li><li>12 min. spacerem do planowanego metra</li><li>5 min. samochodem do stacji SKM</li><li>dojazd do centrum: 21 min samochodem</li></ul>Istotne punkty w okolicy inwestycji<ul><li>Przedszkole (146 m, 2 minuty spacerem)</li><li>Przystanek autobusowy (299 m, 5 minut spacerem)</li><li>Piekarnia (429 m, 6 minut spacerem)</li><li>Sklep: Lidl (438 m, 7 minut spacerem)</li><li>Restauracja (544 m, 8 minut spacerem)</li><li>Kawiarnia (559 m, 8 minut spacerem)</li><li>Lekarz (564 m, 8 minut spacerem)</li><li>Apteka (561 m, 8 minut spacerem)</li><li>Sklep: Biedronka (728 m, 11 minut spacerem)</li><li>Siłownia (811 m, 12 minut spacerem)</li><li>Przystanek planowanego metra (825 m, 12 minut spacerem)</li><li>Żłobek (833 m, 12 minut spacerem)</li><li>Weterynarz (842 m, 12 minut spacerem)</li><li>Neon Muzeum - Muzeum Neonów (986 m, 14 minut spacerem)</li></ul><br/>";praga-południe;2025-01-08;https://www.otodom.pl/pl/oferta/osiedle-pur-ID4u9OS;Osiedle PUR;;;;;;;Nie;66292934;b2c31511-e423-427a-9280-d9d95f0f4147
otodom;;;;;;wtórny;Nie;<ul><li><strong>1, 2, 3 i 4-pokojowe</strong> mieszkania <strong>od 30 m2 do 72 m2</strong> od dewelopera <strong>Victoria Dom</strong></li><li>Strefa fitness, wózkownia i rowerownia na terenie osiedla</li><li>Ścieżka rowerowa wzdłuż Kanału Żerańskiego (4 minuty rowerem)</li><li>Las Bródnowski (11 minut samochodem do parkingu)</li><li>Przystanek autobusowy (5 minut spacerem)</li><li>Lidl (3 minuty samochodem)</li><li>CH Atrium Targówek, Multikino (6 minut samochodem)</li></ul><br/><strong>Nova Viva Garden - poznaj inwestycję</strong><br/><p>Inwestycja Nova Viva Garden to<strong> kameralne osiedle</strong> z urokliwymi niskimi budynkami i starannie zaaranżowaną zielenią. W obiekcie rozplanowano mieszkania o przemyślanych, komfortowych układach. Na terenie inwestycji uwzględniono komórki lokatorskie, boksy rowerowe, wózkownię i rowerownię, a także niebanalnie zaprojektowaną zieleń.</p><p>W najnowszym, szóstym etapie powstaną <strong>2 nowe budynki i 113 funkcjonalnych mieszkań </strong>o metrażach 26-72 mkw. i układach 1-, 2-, 3- i 4-pokojowych. Do mieszkań będą przynależeć balkony, loggie i ogródki. W szóstym etapie powstanie też kolejny plac zabaw, strefa fitness, miejsca spacerowe i lokale usługowe w parterze.</p><br/><strong>Nova Viva Garden - lokalizacja</strong><br/><br/>Białołęka, ul. Włodkowica<br/><ul><li>8,9 km do centrum</li><li>5 min. spacerem do przystanku autobusowego</li><li>3 min. samochodem do przystanku tramwajowego</li><li>dojazd do centrum: 13 min samochodem</li></ul>Istotne punkty w okolicy inwestycji<ul><li>Przystanek autobusowy (380 m, 5 minut spacerem)</li><li>Przedszkole (421 m, 6 minut spacerem)</li><li>Restauracja (928 m, 12 minut spacerem)</li></ul><br/>;białołęka;2025-01-14;https://www.otodom.pl/pl/oferta/nova-viva-garden-ID4umsU;Nova Viva Garden;;;;;;;Nie;66341544;8a73fc10-b405-42a7-a19d-64f97de3d97b
otodom;2100000;17586;119.41;6;3/3;wtórny;Nie;<p><b>Na sprzedaż wyjątkowe, dwupoziomowe mieszkanie z antresolą – Kabaty, blisko metra i Lasu Kabackiego!</b></p><p>Cena: 2 100 000 zł</p><p>Powierzchnia użytkowa: 119,41 m²</p><p>Liczba pokoi: 6 + antresola</p><p>Lokalizacja: Kabaty, Ursynów, Warszawa</p><p>Garaż: 1 miejsce postojowe w garażu podziemnym</p><p>Zapraszamy do zapoznania się z ofertą sprzedaży przestronnego mieszkania w jednej z najbardziej zielonych i spokojnych części Warszawy – na Kabatach!</p><p>Główne atuty mieszkania:</p><ul><li>Dwupoziomowy układ z dodatkową antresolą</li><li>6 funkcjonalnych pokoi – możliwość elastycznej aranżacji: sypialnie, gabinety, pokoje dziecięce</li><li>Oddzielna kuchnia, łazienka, osobna toaleta oraz praktyczny schowek pod schodami</li><li>Jasne, dobrze doświetlone wnętrza</li><li>Kameralne osiedle z zadbanymi częściami wspólnymi</li></ul><p>W cenie:</p><ul><li>1 miejsce postojowe w garażu podziemnym</li></ul><p>Lokalizacja:</p><ul><li>Zaledwie 150 metrów do stacji metra Kabaty</li><li>Bezpośrednie sąsiedztwo Lasu Kabackiego – idealne na spacery, aktywność fizyczną i wypoczynek</li><li>Blisko sklepy, szkoły, przedszkola, restauracje i wszystkie niezbędne usługi</li><li>Doskonałe połączenie z centrum miasta</li><li>Spokojne, niskie budownictwo – bez windy (dla osób ceniących aktywność i ciszę z dala od miejskiego zgiełku)</li></ul><p>To idealna propozycja dla dużej rodziny, osób pracujących zdalnie, jak również jako inwestycja.</p><p>Zadzwoń i umów się na prezentację!</p><p>Uwaga: nie jestem zainteresowany współpracą z agencjami nieruchomości. Proszę o kontakt wyłącznie osoby prywatne.</p>;ursynów;2025-06-09;https://www.otodom.pl/pl/oferta/6-pokoi-119m2-blisko-metra-dodatkowa-antresola-i-garaz-podziemny-ID4vMMX;6 pokoi | 119m2 | blisko metra | dodatkowa antresola i garaż podziemny;block;2000;;ready_to_use;;miejskie;Nie;66919387;
otodom;695000;18989;36.6;2;parter/4;wtórny;Nie;<p>Bezpośrednio – bez pośredników i agencji</p><p>Warszawa, Ochota – ul. Księcia Trojdena</p><p>36,6 m² </p><p>po generalnym remoncie, o powierzchni, położone na wysokim parterze zadbanego (klatki wyremontowane w 2025) bloku przy ul. Księcia Trojdena 11– zaledwie 300 metrów od Warszawskiego Uniwersytetu Medycznego.</p><p>Opis mieszkania:</p><p>• 2 pokoje</p><p>• Oddzielna, jasna kuchnia z oknem z nową zabudową meblową i sprzętem AGD (piekarnik, zmywarka, okap, płyta indukcyjna)</p><p>• Łazienka z prysznicem (odpływ liniowy) i ogrzewaniem podłogowym</p><p>•  przedpokój z miejscem na dużą szafę wnękową </p><p>• 2 piwnice o łącznej powierzchni ok. 6 m²</p><p>• Mieszkanie po generalnym remoncie – gotowe do wprowadzenia</p><p> • Ekspozycja południowo-zachodnia – dużo naturalnego światła</p><p> • Pełna własność z księgą wieczystą – możliwy zakup na kredyt Dodatkowe atuty:</p><p>• Zielona, spokojna okolica z miejscami do spacerów</p><p>do WUM 300 metrów </p><p>• Park Malickiego ze stawem w bezpośrednim sąsiedztwie (200 metrów)</p><p>• Miejsca parkingowe za szlabanem – tylko dla mieszkańców</p><p>• Blok zadbany, klatki schodowe wyremontowane w 2025 roku</p><p>Idealne dla studentów, młodej pary lub jako inwestycja na wynajem.</p><p>Zapraszam do kontaktu</p>;ochota;2025-06-19;https://www.otodom.pl/pl/oferta/300-m-od-wum-po-remoncie-ul-trojdena-ID4vWIj;300 m od WUM po remoncie ul. Trojdena;block;1967;460;ready_to_use;full_ownership;miejskie;Nie;66953695;
